PUC_Maximo_Asset_ID,DPW_Node_ID,Drain_Type,SYSTEM,System_Use_Code,System_Use,lng,lat
50963,50963,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11813856,29.94637223
50964,50964,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11818195,29.94640262
50965,50965,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11738027,29.94701073
50966,50966,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11742193,29.94694862
50967,50967,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11717019,29.94688131
50968,50968,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11732799,29.94747391
50969,50969,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11738365,29.9474988
50970,50970,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11708068,29.94780844
50971,50971,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11718775,29.9479719
50972,50972,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11688074,29.94790657
50973,50973,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.116934,29.94783395
50974,50974,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11554377,29.9479267
50975,50975,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11601377,29.94721805
50976,50976,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11624525,29.94735829
50977,50977,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11649871,29.94651954
50978,50978,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11672063,29.94667906
50979,50979,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11561886,29.94688883
50980,50980,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11502013,29.94797372
50981,50981,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11475319,29.94738822
50982,50982,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11440324,29.94795988
50983,50983,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11404634,29.94786721
50984,50984,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11447325,29.94681011
50985,50985,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11418504,29.94749669
50986,50986,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11396322,29.94703597
50987,50987,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11384147,29.94678238
50988,50988,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11425798,29.94634195
50989,50989,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11368565,29.9463229
50990,50990,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11357329,29.94659306
50991,50991,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11361192,29.94648468
50992,50992,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11328024,29.94632476
50993,50993,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11324201,29.94640002
50994,50994,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11337013,29.9466018
50995,50995,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11309875,29.9469086
50996,50996,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11319155,29.94694758
50997,50997,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11309047,29.94735094
50998,50998,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11306754,29.9474076
50999,50999,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11292414,29.94745751
51000,51000,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11283715,29.94741358
51001,51001,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11267745,29.94774017
51002,51002,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11276458,29.94777347
51003,51003,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11267126,29.94724957
51004,51004,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11269651,29.94717919
51005,51005,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11352381,29.94629703
51006,51006,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11344635,29.94623632
51007,51007,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11147146,29.94755275
51008,51008,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11158589,29.94758381
51009,51009,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11168019,29.94703104
51010,51010,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11178248,29.94705636
51011,51011,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.1118866,29.94646368
51012,51012,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11199829,29.94648346
51013,51013,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11166905,29.94665163
51014,51014,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11168834,29.94659994
51015,51015,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.1107458,29.94751602
51016,51016,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11084528,29.94753631
51017,51017,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11098608,29.94746451
51018,51018,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11100491,29.94739157
51019,51019,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.1106943,29.94738556
51020,51020,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11076691,29.94731562
51021,51021,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11086199,29.94722715
51022,51022,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11091116,29.94725448
51023,51023,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.10997308,29.94757132
51024,51024,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11014049,29.947611
51025,51025,Catch Basin Drain,Eastbank,STORM,Storm; even if DS flow is combined,-90.11038397,29.94729832
